Round,Home team,Home score,Away score,Away team,Home bonus,Away bonus
1,Union Bordeaux-Bègles,15,20,Colomiers Rugby,1,0
1,Auch,25,26,US Carcassonnaise,1,0
1,FC Grenoble Rugby,9,12,Stade Montois Rugby,1,0
1,LOU Rugby,22,9,Provence Rugby,0,0
1,Narbonne,34,29,Tarbes,0,1
1,Albi,45,19,Saint-Etienne,1,0
1,Stade Aurillacois,36,13,US Dax,0,0
1,Section Paloise,20,19,Oyonnax Rugby,0,1
2,Saint-Etienne,7,47,Oyonnax Rugby,0,1
2,Provence Rugby,18,11,Narbonne,0,0
2,Union Bordeaux-Bègles,22,15,Stade Aurillacois,0,0
2,Section Paloise,22,16,Auch,0,0
2,Tarbes,25,19,FC Grenoble Rugby,0,0
2,US Carcassonnaise,19,21,LOU Rugby,1,0
2,Colomiers Rugby,16,12,Stade Montois Rugby,0,1
2,US Dax,13,28,Albi,0,0
3,FC Grenoble Rugby,31,18,US Carcassonnaise,1,0
3,LOU Rugby,28,13,US Dax,0,0
3,Oyonnax Rugby,26,9,Union Bordeaux-Bègles,0,0
3,Stade Aurillacois,36,9,Provence Rugby,0,0
3,Stade Montois Rugby,35,11,Auch,1,0
3,Tarbes,24,30,Albi,0,0
3,Narbonne,15,24,Saint-Etienne,0,0
3,Colomiers Rugby,33,19,Section Paloise,0,0
4,Auch,29,12,Provence Rugby,0,0
4,FC Grenoble Rugby,16,16,Union Bordeaux-Bègles,0,0
4,Oyonnax Rugby,33,9,US Carcassonnaise,1,0
4,Albi,34,8,Narbonne,1,0
4,Stade Aurillacois,28,16,Section Paloise,0,0
4,US Dax,31,16,Colomiers Rugby,1,0
4,Saint-Etienne,38,43,Tarbes,1,0
4,Stade Montois Rugby,15,22,LOU Rugby,0,0
5,Provence Rugby,21,36,FC Grenoble Rugby,0,0
5,Narbonne,24,13,Stade Montois Rugby,0,0
5,Tarbes,18,14,Auch,0,1
5,US Carcassonnaise,30,6,Stade Aurillacois,1,0
5,Colomiers Rugby,23,23,Saint-Etienne,0,0
5,US Dax,26,14,Oyonnax Rugby,0,0
5,Union Bordeaux-Bègles,18,12,LOU Rugby,0,0
5,Section Paloise,18,22,Albi,1,0
6,Saint-Etienne,16,48,Union Bordeaux-Bègles,0,1
6,Auch,19,17,US Dax,0,1
6,Oyonnax Rugby,20,25,Stade Aurillacois,1,0
6,Provence Rugby,29,3,Colomiers Rugby,0,0
6,Section Paloise,17,12,Narbonne,0,1
6,Albi,22,17,Stade Montois Rugby,0,1
6,US Carcassonnaise,13,12,Tarbes,0,1
6,LOU Rugby,39,20,FC Grenoble Rugby,1,0
7,Auch,18,15,Oyonnax Rugby,0,1
7,FC Grenoble Rugby,36,6,Colomiers Rugby,1,0
7,Narbonne,36,29,US Carcassonnaise,0,0
7,Stade Aurillacois,22,9,LOU Rugby,0,0
7,Stade Montois Rugby,60,10,Saint-Etienne,1,0
7,Tarbes,21,22,Section Paloise,1,0
7,US Dax,14,30,Provence Rugby,0,0
7,Union Bordeaux-Bègles,47,9,Albi,1,0
8,LOU Rugby,27,8,Auch,0,0
8,Oyonnax Rugby,28,10,Narbonne,0,0
8,Provence Rugby,17,19,Union Bordeaux-Bègles,1,0
8,Stade Montois Rugby,17,26,Tarbes,0,0
8,Colomiers Rugby,6,19,Stade Aurillacois,0,0
8,Saint-Etienne,19,26,Section Paloise,0,0
