Round,Home team,Home score,Away score,Away team,Home bonus,Away bonus
1,US Carcassonnaise,38,52,LOU Rugby,0,1
1,AS Béziers Hérault,20,19,Tarbes,0,1
1,Bourgoin,18,13,Bourg-en-Bresse,0,1
1,Narbonne,34,23,Stade Aurillacois,0,0
1,Section Paloise,27,12,Auch,1,0
1,Albi,12,17,SU Agen,1,0
1,US Dax,18,15,Colomiers Rugby,0,1
1,Stade Montois Rugby,31,28,Stade Rochelais,0,1
2,SU Agen,14,9,Stade Montois Rugby,0,1
2,Stade Rochelais,41,9,Albi,1,0
2,Stade Aurillacois,33,12,US Dax,1,0
2,Tarbes,20,15,US Carcassonnaise,0,1
2,Colomiers Rugby,18,12,Bourgoin,0,0
2,Auch,23,16,AS Béziers Hérault,0,0
2,Bourg-en-Bresse,21,25,Section Paloise,1,0
2,LOU Rugby,25,6,Narbonne,0,0
3,AS Béziers Hérault,30,24,SU Agen,0,0
3,Bourgoin,38,17,Stade Aurillacois,0,0
3,Albi,10,30,LOU Rugby,0,0
3,Stade Montois Rugby,24,33,Colomiers Rugby,0,0
3,US Carcassonnaise,30,27,Auch,0,1
3,Stade Rochelais,23,10,US Dax,0,0
3,Bourg-en-Bresse,23,16,Tarbes,0,0
3,Section Paloise,25,15,Narbonne,0,0
4,Auch,13,17,Stade Rochelais,1,0
4,Narbonne,19,13,Stade Montois Rugby,0,0
4,Stade Aurillacois,34,7,Bourg-en-Bresse,1,0
4,Tarbes,42,19,Albi,1,0
4,Colomiers Rugby,29,13,US Carcassonnaise,0,0
4,US Dax,27,13,AS Béziers Hérault,0,0
4,LOU Rugby,39,7,Section Paloise,1,0
4,SU Agen,39,12,Bourgoin,1,0
5,Albi,21,19,Colomiers Rugby,0,1
5,SU Agen,51,6,Narbonne,1,0
5,Stade Montois Rugby,33,10,Auch,1,0
5,US Carcassonnaise,23,25,Stade Aurillacois,1,0
5,AS Béziers Hérault,12,9,LOU Rugby,0,1
5,Bourgoin,22,9,Tarbes,1,0
5,Bourg-en-Bresse,29,11,US Dax,0,0
5,Section Paloise,18,19,Stade Rochelais,1,0
6,Auch,22,17,SU Agen,0,1
6,Narbonne,36,26,Bourg-en-Bresse,1,0
6,Stade Aurillacois,30,19,Albi,0,0
6,Tarbes,9,12,Section Paloise,1,0
6,Colomiers Rugby,19,12,AS Béziers Hérault,0,0
6,US Dax,25,25,Bourgoin,0,0
6,LOU Rugby,34,17,Stade Montois Rugby,0,0
6,Stade Rochelais,22,15,US Carcassonnaise,0,0
7,AS Béziers Hérault,19,20,Section Paloise,1,0
7,Bourgoin,16,16,Stade Rochelais,0,0
7,Auch,13,21,Stade Aurillacois,0,0
7,SU Agen,36,22,Tarbes,1,0
7,US Carcassonnaise,19,13,Stade Montois Rugby,0,0
7,US Dax,18,20,Narbonne,1,0
7,Bourg-en-Bresse,22,23,Albi,1,0
7,Colomiers Rugby,23,24,LOU Rugby,1,0
8,Stade Rochelais,37,10,Bourg-en-Bresse,1,0
8,Section Paloise,21,15,US Dax,0,0
8,Albi,33,15,AS Béziers Hérault,0,0
8,Stade Aurillacois,25,21,SU Agen,0,1
8,Stade Montois Rugby,16,12,Bourgoin,0,1
8,US Carcassonnaise,13,23,Narbonne,0,0
8,LOU Rugby,40,12,Auch,1,0
8,Tarbes,20,15,Colomiers Rugby,0,1
9,Bourgoin,33,12,Section Paloise,1,0
9,Narbonne,19,19,Tarbes,0,0
9,SU Agen,41,13,US Carcassonnaise,1,0
9,Colomiers Rugby,29,6,Auch,0,0
9,US Dax,22,8,Albi,0,0
9,Stade Aurillacois,9,11,LOU Rugby,1,0
9,Bourg-en-Bresse,19,19,Stade Montois Rugby,0,0
9,AS Béziers Hérault,18,20,Stade Rochelais,1,0
10,Section Paloise,12,11,SU Agen,0,1
10,Stade Rochelais,37,13,Colomiers Rugby,1,0
10,Auch,16,11,Bourg-en-Bresse,0,1
10,Stade Montois Rugby,11,11,AS Béziers Hérault,0,0
10,Tarbes,43,14,Stade Aurillacois,1,0
10,US Carcassonnaise,18,16,US Dax,0,1
